MiniProgram productId,stable SKU,商品,规格,售价分,当前资格,OS Product ID,OS SKU,OS状态,黑名单,口味选择,明确状态
bb,sku-c07f58feb928598a63c14792a950ecf555283487dcd12b2bfbeb6a9392d9734f,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b1,b5,b6",MAPPED_ELIGIBLE
bb,sku-14e5152300a5ef35406cccf14116c59d34d77db403a3a6a711dbd6b0cc42d3c7,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b1,b6,b6",MAPPED_ELIGIBLE
bb,sku-3c97738f1d9a8694b843caeda5454515ec8f6fbf616f4de0dc8c32144bf66ac3,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b2,b2",MAPPED_ELIGIBLE
bb,sku-d0207a1ce7f9bd290d1c920a99c31a5040ec3b095b46793778b7e83a3b2c29a8,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b2,b3",MAPPED_ELIGIBLE
bb,sku-ccc7377f25499d4384b898636a7f86a8aabde33c8962954deb34097da6579019,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b2,b4",MAPPED_ELIGIBLE
bb,sku-60f631c0bfba2a59a02deb6374f6bc43bedaacaedd4b4541bf475f6aa02867ef,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b2,b5",MAPPED_ELIGIBLE
bb,sku-c6c4de41b3a62f1025730472f20492394d8bb9f8f26cc9560a48df0f8e08f7f3,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b2,b6",MAPPED_ELIGIBLE
bb,sku-cf6b509326613faf310026157e8c6aa3303bb56ebcb1c242fc2acb82e5a356dd,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b3,b3",MAPPED_ELIGIBLE
bb,sku-554a1069895921ae34b4a4942de5ea7c383b93112f3d35aca0258cc15bd10d5c,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b3,b4",MAPPED_ELIGIBLE
bb,sku-335c9a45bea6d3a14ef7bc268dfd79624e2dbb1b76d133a5c03f08b8f20ddcf0,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b3,b5",MAPPED_ELIGIBLE
